condition_id,period
0x5b82bdec8cf9f7f215c13d2e436224e761c8c081263ef8ea224179f5e943caf2,12
0xf6455f10984ffd06a54519c08a1d4b91afce66a2f36c6a267d84909e3f42fbe2,9
0x636bcf8ac60b566edb6065af8a24982ee362c87768823018e0e42162ab430bfe,14
0x1e0547dd14d98e2c6be2e180078d64d134d62b3d8e4d22e4a03f1261e4690d53,11
0x3093b935e6593823e592e060a6c2b0779dc6656f6a6f9726a4a8b159f2208d9a,12
0x7dc0d9bd48ddcccf2290d8eed1fc137918fbd56a9d05610840f010fe8635a975,10
0x9084841afd9cecafefc06bd55e4cd35273f8ac817e9a4c0b5827a9c363ef3e51,9
0x4df9b983c037c0baa85f1d10184ef5f2dc000a979eedcd78b69edbfd5bb651c9,42
0x68005aadd48b8be729a102135eebd1e1b0425c49236bbcec11e25d5162a48165,40
0x26009b6a96744d495bb33eeefb9205a7a2e12abc9a61463088c0b973f84de27a,11
0xc4c54865bfc22030559b3bcf7ef5620624be0b1b383936bd7117be93f68031d1,11
0x7753560ce96be1d4989395116c0dd9eef2ac003ed693b8df0dd0fa66b9e72eaa,14
0xabc39e1ae73d6ea8582241eb1fb9e2ca1fed4045664be07f54b7e9bf61cb65cc,14
0xb325db47c1af52eb800958894e28fc860b3cc3180ad51df9dfcaa8100812807e,12
0xb186afb033b8eb1f7609ac9d3f1255337583289644c273a00fd5821d02cb23d8,9
0x9e0d2604fa6c61ba56f023a9ac4cadf97a62e37c97626418677ec47e57a5f4d1,9
0x143ce4482636cdb529796d278c61d7f7a61b5a936c38e38f625206b4d83b838f,9
0xe5a1a3c6f32f917c04f4c8fefdf70918485a624ba7301db9af9eaa7f53bf94e7,42
0x763f451fe06d5502d669421b83248d0640c091a6ff28fae9f7a52398cd96330f,9
0x81f0d7860ed5d6dd452df5c3534fb6d8e04a5680b0944e5a181c9ac1e4a151e0,12
0xf82750aca429f61de4671ea44665afc785bf3c345e8863a554f13bd1d8c66b8f,14
0x3ac5c56c2fa1861dc66c0aeb0852c4be9108a61a6b5050b9f6fd15abd8202ab3,156
0xa88a783b0926a90c5e0a3e6543293570c16f620392f12bfc08dd194c614e7e00,156
0x9063d33d30415fbcf24311c255711976444c72aa8ffbc05b0aa6f855fcdd6d06,134
0x5e7f588f32fa63e49491c50922bb50f554a22d1f431c6a7d10d47adc1a33ec87,6
0x6754ff5a8dd8ab9cbe0168f7ac073b76ba71380de8f4e09f2d12b1c57469149f,9
0xfc93f92b41376c8caeb67fc389e8901d2959e5a998a94c102209fe34b7eeaa7f,156
0xcc78239da94906bbf74b76b71cfdf05b653596c3f81580edfeddad9a79c48488,150
0x9899c4405ed4cb50a2e861feca6aba3864d738223380417f2f4211bc6ba8ba02,156
0xe7c0f5dc1be16566f894fd93fb631a6a767cf1e8116449d03e5e80a549fb3d76,24
0x49f0885490b71856a2535d5deb1dca2a970bb0a84f7a9cba9934a3fdbd3b17c0,159
0xf8dc77a114b42865e81d70a2d1ca7a2a99dfd80261fb676b5dfe348660d442c3,42
0xf0e262240ee9142ed91b5e65970fe4b27fcdec4af60f3ef95d40ee1e02bf79a3,156
0xb9998922e9b800d3c8dd65636a4f9905bae8d587f8cfd78d06c6209b33bb46cf,150
0x75e90d6830fcc4b274acdbf8869a8b0f464a67d0b86c97d3081a8696a3cd8134,155
0x9e3e7ebebe250eb5c747ff3bac449c65addc21b2cebed48901c55e6e4739da05,6
0xdbded28bb7b5ef0ae091e60894c4c8aa1556de87d2e8edac6104be50b69cc6a8,157
0xb9d41ef3258af96296561356a8c8ed53c1e4de935b36eac5e41c4b714e2755b2,156
0x5d14dd0ce9b47b7fd7bbd7f07c70508f46ff1585de5d0b441eb069dbf3a0733c,158
0xd987b38ecf3bdf4cb69734004c51238875411e0924dd0e9b30e3b31e623c4f00,236
0x3a65461275604e537ee2c3fe8a37342e68bf963616f69c4f02f55e6cca17b425,36
0x2dfc5ff604b12ac8721316b109cd786b0da27a24719238bb23aa7882d8f3b3ab,157
0x874903f053ee9e1bc4a270a6d40886deaf61e6bfb373ecfbbd03d8e1053f7ceb,156
0x62448ffe33386d8b36a2f6f640eaf06a65af6e51d356828bb08d7596effef03b,31
0xf7a5be137ff57afb48a5f755a1a4fe80b33524aa7755d3e1eec3d1bbeada4539,7
0xe66f51928aaac460a244a814de30ad9ef84328311c1136e1d844c494a7fd908c,162
0xa3bbcd8fb3be5275e40d789906b5731f7fdd799a977528b3d018984ad05a0276,156
0xfaa752459c013314a908ff85ef9cd00811761ce6d4722c631e0a42d99a72c49f,29
0xf32f38434f2192f5135e007f2bc102a6c7dca299fb9b7e71b76542891161f6a1,150
0xc05a58469e9c032ff5b06b44e21d2790cf97c1c8358846893e5e26b53097e55d,9
0x1500796e23793afd7d001fac0699956955875e1b2dfed19db418c3c0f4f6628e,156
0xe8c8292d874dfa46361cb7413e528557106f69fbd6448d7290dab7d1e65b006e,156
0xc11e05cc1d5aadc7a35ca4d152f0e6773acd2a38503d5129e7d988d67073ee9a,155
0x80d9e846edc6d0492c65931dfe71df1250b5d57d88f7dd94c40190e6d87cc395,31
0x8a05f4cc458c938152f6d2d9152cd3358a81f7dea570cbe4a46ad39603f5d34b,216
0x5997cd6096c218411758371421538280a309fb3d465acfda751e3f37944e8ed5,156
0x325038359610a566c0963c9f0ea2ea33b2ddedf7808898c4ed4166787213f1b5,156
0x58d102be7f1046597d9f208b84a0d5f844960151bc771bca1ae138353c4caa50,167
